t_s,I_A,P_device_W,V_V,SOC,T_C
0.0,1.2323288943961317,5.29901424590337,4.248716928849707,0.9999144216045557,25.036215767917213
1.0,1.2023678666283188,5.108520709648645,4.248143671240929,0.9998309238360398,25.07094126717675
2.0,1.258033384701671,5.3443065614302085,4.244128945262123,0.9997435604065464,25.10724416930202
3.0,1.3210976926564888,5.606908956922408,4.23979995094565,0.9996518175112231,25.145330430837987
4.0,1.1981117143156732,5.079753987583,4.243147250124505,0.9995686153088401,25.17938227576343
5.0,1.197167718552825,5.0797589129152465,4.241688301345625,0.9994854786617182,25.213282526631815
6.0,1.3258314720740196,5.623763844652218,4.234945469663584,0.9993934070317131,25.251033992542148
7.0,1.270436764129874,5.380230418745873,4.235662101826491,0.9993051822564263,25.286833653299823
8.0,1.1826150348630216,5.009157684219515,4.237845243674839,0.9992230562123388,25.31976134409183
9.0,1.2536484245160482,5.3127680130757895,4.2336828222521765,0.9991359972939696,25.354762712724835
10.0,1.1835970956110955,5.010974692156262,4.235252745558078,0.9990538030512189,25.387411162751164
11.0,1.1829945873203653,5.010281073928923,4.234124871965795,0.9989716506493217,25.419911223393115
12.0,1.2334517378192242,5.22258868146981,4.230955218659162,0.9988859942786398,25.453820887341124
13.0,1.0815562184212513,4.576015926602661,4.236013452271197,0.998810886207916,25.482894600025418
14.0,1.0936048014111708,4.632524650246091,4.234640977894526,0.9987349414300404,25.51224492618229
15.0,1.1763249274804946,4.981313741227709,4.23040872418605,0.9986532521989653,25.54399362931116
16.0,1.1455514064618177,4.846150663899674,4.230707172808399,0.998573700017961,25.57462845378484
17.0,1.2395739023217163,5.244274199778583,4.226018349156275,0.9984876184969664,25.608028418160927
18.0,1.154181637265595,4.877592777343637,4.228504149242073,0.9984074669943785,25.638618312443157
19.0,1.1177259671003439,4.726308889599413,4.229160324755167,0.9983298471355522,25.66797891979411
20.0,1.3217031754406385,5.589694630676466,4.220179638164162,0.9982380621928134,25.70351194763839
21.0,1.2042774349920558,5.0822671098540395,4.223920586473746,0.9981544318153833,25.735181651621588
22.0,1.2240425347870147,5.170258461406378,4.222327297813649,0.9980694288615787,25.76735123254082
23.0,1.1184768993586418,4.722575544135963,4.225778342002474,0.9979917568546787,25.796134165269848
24.0,1.1800631218814472,4.986685182642446,4.222683476103276,0.9979098080267704,25.826700780664908
25.0,1.227484088316306,5.18327677691296,4.2200952506351435,0.9978245660761929,25.85856936537664
26.0,1.1385292609331934,4.804701926773309,4.2229320826110355,0.9977455015441834,25.887553022084205
27.0,1.2462216541853008,5.262709405503702,4.2180440298378645,0.997658958373754,25.91973709672527
28.0,1.1782258217004415,4.969808393024359,4.220052653044979,0.9975771371361358,25.94965378531822
29.0,1.1996276566381645,5.062491875062017,4.218608905588514,0.9974938296599803,25.980111864223034
30.0,1.1779921124586723,4.969488016331181,4.218871737673868,0.9974120246521707,26.0097639915723
31.0,1.352419274660999,5.705683455352681,4.211379302106969,0.997318106646986,26.044676097579327
32.0,1.221915781844699,5.14595083257862,4.2157944345098715,0.9972332513843579,26.07533916610555
33.0,1.1463288346684006,4.83268672131323,4.218230129364658,0.9971536452152837,26.103591345970415
34.0,1.2793904808706602,5.396763473630957,4.212514612712376,0.9970647986541121,26.13582281468348
35.0,1.13560363460164,4.783746905008694,4.217595539210377,0.9969859372905983,26.163463149374593
36.0,1.2359314756571815,5.212659078501427,4.213237404116457,0.9969001087159,26.194089556580877
37.0,1.0828013058031722,4.5620989628360675,4.218764904379667,0.9968249141807747,26.219882587545328
38.0,1.1262879759897748,4.751544185330471,4.216760526553072,0.9967466997379976,26.24692110151466
39.0,1.2353223138850629,5.209058370760737,4.212122840384439,0.9966609134662,26.27715984763853
40.0,1.275257198697549,5.371539973998623,4.210068044547688,0.9965723539385126,26.30845924459061
41.0,1.235469457813908,5.201410484356992,4.211108289419507,0.9964865574483867,26.338382835346863
42.0,1.2147171632075655,5.115305515283528,4.211471683460572,0.9964022020898307,26.367548736307356
43.0,1.201401617205147,5.059668891323214,4.211585559814316,0.9963187714219692,26.39618364272036
44.0,1.1174991784085406,4.706443402889772,4.214491820272098,0.9962411673123575,26.422142261168176
45.0,1.1707334947830161,4.934046737481588,4.212160836521017,0.9961598663752198,26.449627322897754
46.0,1.1898425922528415,5.011808368712064,4.211097089653488,0.9960772384174246,26.477558678660046
47.0,1.2982689668443481,5.467136667865675,4.206533421411214,0.9959870808502826,26.508687509762353
48.0,1.2487920481345485,5.253085486870539,4.207986050155615,0.9959003591802733,26.538122389547084
49.0,1.0981709298252755,4.62108795339118,4.213452312561573,0.9958240973101465,26.562858064194927
50.0,1.2453505585372062,5.247225190818439,4.207562447880105,0.9957376146324702,26.592006944293303
51.0,1.1965301473806107,5.034475315875105,4.209085220743015,0.9956545222611243,26.61949051329742
52.0,1.1752965645668134,4.946923399908213,4.209614498904223,0.9955729044441404,26.64621979649229
53.0,1.2669813086306574,5.333502886652261,4.205809011802921,0.995484919631041,26.675640023873314
54.0,1.2980379854216266,5.459299856748785,4.204232852180171,0.9953947781042757,26.70585626146959
55.0,1.2914089743909802,5.42938403573486,4.204082539948927,0.9953050969254985,26.73572417462941
56.0,1.1651138379154455,4.898234743033209,4.208567544393544,0.99522418624231,26.761603772771934
57.0,1.201652636888684,5.057236287244636,4.206960115499867,0.995140738142526,26.78851623875022
58.0,1.2477843586110022,5.249379029421069,4.204939487001919,0.9950540864509558,26.816708649248994
59.0,1.2943500269054464,5.442663538136708,4.202847481269302,0.9949642010324207,26.846190666106395
60.0,1.191156174702413,5.0062477286464135,4.206449458175883,0.9948814818536218,26.872373719620043
61.0,1.2110694203395913,5.094302307000855,4.205479752043711,0.9947973798105427,26.89907693700303
62.0,1.145671788208413,4.818099507798192,4.207753560454937,0.9947178192696948,26.9236710388858
63.0,1.138645109305733,4.791138012775799,4.207887000627801,0.9946387466926597,26.947962688456755
